kot,as
I,I
njegov,his
da,that
je,he
je bil,was
za,for
o,on
up,are
s,with
so,they
biti,be
na,at
ena,one
imajo,have
to,this
od,from
s,by
hot,hot
beseda,word
vendar,but
kaj,what
nekateri,some
je,is
lastna,it
si,you
ali,or
imela,had
pojdi,the
od,of
za,to
in,and
bi,a
v,in
smo,we
lahko,can
out,out
druga,other
so bili,were
ki,which
storiti,do
njihovo,their
čas,time
če,if
bo,will
kako,how
je dejal,said
vsak,each
povej,tell
ne,does
set,set
tri,three
želim,want
zrak,air
dobro,well
tudi,also
igrajo,play
majhna,small
konec,end
dal,put
domov,home
preberite,read
hand,hand
pristanišče,port
velika,large
črkovati,spell
dodajte,add
celo,even
zemljišč,land
tukaj,here
mora,must
velika,big
visoka,high
kot,such
sledite,follow
akt,act
zakaj,why
vprašajte,ask
moški,men
sprememba,change
šel,went
svetloba,light
vrsta,kind
izklopite,off
potrebujete,need
hiša,house
slika,picture
poskusite,try
nam,us
ponovno,again
živali,animal
točka,point
mati,mother
svet,world
blizu,near
graditi,build
samozaposlene,self
zemlja,earth
oče,father
koli,any
novo,new
delo,work
del,part
sprejmejo,take
zaslužiti,get
kraj,place
je,made
živeti,live
kjer je,where
po,after
nazaj,back
malo,little
samo,only
krog,round
Moški,man
letnik,year
prišel,came
prikaži,show
vsak,every
dobro,good
me,me
dati,give
naše,our
pod,under
ime,name
zelo,very
skozi,through
samo,just
obrazec,form
stavek,sentence
velika,great
mislim,think
reči,say
pomaga,help
nizka,low
vrstica,line
razlikujejo,differ
zavoj,turn
vzrok,cause
veliko,much
pomeni,mean
pred,before
poteza,move
prav,right
boy,boy
star,old
tudi,too
enako,same
ona,she
vse,all
obstaja,there
ko,when
up,up
uporaba,use
vaš,your
način,way
o,about
veliko,many
potem,then
jim,them
pisati,write
bi,would
kot,like
tako,so
ti,these
jo,her
dolgo,long
bi,make
stvar,thing
glej,see
njega,him
dve,two
ima,has
poglej,look
več,more
dan,day
lahko,could
pojdi,go
prišel,come
storil,did
številka,number
zvok,sound
ne,no
najbolj,most
ljudje,people
my,my
več,over
vedeti,know
vode,water
kot,than
razpis,call
prva,first
ki,who
lahko,may
navzdol,down
side,side
bilo,been
zdaj,now
Ugotovijo,find
glava,head
stojalo,stand
lastna,own
stran,page
smeli,should
država,country
Najdenih,found
odgovor,answer
šola,school
raste,grow
študija,study
vedno,still
naučiti,learn
rastlin,plant
pokrov,cover
hrana,food
sonce,sun
štiri,four
med,between
država,state
hraniti,keep
oči,eye
nikoli,never
zadnja,last
naj,let
Mislila,thought
mesto,city
drevo,tree
čez,cross
kmetija,farm
težko,hard
začetek,start
morda,might
zgodba,story
žaga,saw
daleč,far
morje,sea
pripravi,draw
levo,left
pozno,late
rok,run
ne,don’t
medtem,while
pritisnite,press
zapri,close
noč,night
real,real
življenje,life
nekaj,few
sever,north
knjiga,book
opravljanje,carry
je,took
znanost,science
jesti,eat
soba,room
prijatelj,friend
začel,began
ideja,idea
ribe,fish
gorsko,mountain
ustaviti,stop
enkrat,once
baza,base
slišal,hear
konj,horse
cut,cut
prepričajte,sure
gledam,watch
barva,color
obraz,face
les,wood
glavni,main
open,open
zdi,seem
skupaj,together
naslednja,next
bela,white
otroci,children
začeti,begin
dobil,got
sprehod,walk
primer,example
enostavnost,ease
papir,paper
skupina,group
vedno,always
glasba,music
"tisti,",those
oboje,both
znamka,mark
pogosto,often
pismo,letter
dokler,until
miljo,mile
river,river
avto,car
feet,feet
nega,care
drugi,second
dovolj,enough
plain,plain
dekle,girl
Običajni,usual
mlada,young
pripravljen,ready
zgoraj,above
kdaj,ever
rdeča,red
Seznam,list
čeprav,though
počutijo,feel
Pogovor,talk
ptica,bird
kmalu,soon
telo,body
pes,dog
družina,family
neposredne,direct
predstavljajo,pose
zapusti,leave
pesem,song
merjenje,measure
vrata,door
izdelek,product
black,black
short,short
številka,numeral
razred,class
veter,wind
vprašanje,question
zgodilo,happen
popolna,complete
ladja,ship
območje,area
pol,half
skala,rock
da,order
požar,fire
južno,south
težava,problem
kos,piece
povedal,told
vedel,knew
mimo,pass
saj,since
na vrh,top
celoten,whole
king,king
ulica,street
inch,inch
množijo,multiply
nič,nothing
Seveda,course
bivanje,stay
kolo,wheel
polno,full
sila,force
modra,blue
predmet,object
odloči,decide
površina,surface
globoko,deep
Mesec,moon
otok,island
foot,foot
sistem,system
zaposlen,busy
preskus,test
zapis,record
čoln,boat
pogosti,common
gold,gold
mogoče,possible
plane,plane
Stead je,stead
suha,dry
"sprašujem se,",wonder
smeh,laugh
tisoč,thousand
nazaj,ago
tekel,ran
preveriti,check
igra,game
oblika,shape
enačijo,equate
hot,hot
gospodična,miss
prinesel,brought
toplota,heat
sneg,snow
pnevmatik,tire
prinašajo,bring
pritrdilen,yes
oddaljeni,distant
izpolnite,fill
vzhod,east
barve,paint
jezik,language
med,among
enota,unit
moč,power
mesto,town
fina,fine
nekatere,certain
letenje,fly
padec,fall
vodi,lead
cry,cry
temna,dark
stroj,machine
opomba,note
počakajte,wait
načrt,plan
slika,figure
zvezda,star
škatla,box
samostalnik,noun
polje,field
počitek,rest
pravilna,correct
lahko,able
pound,pound
narejeno,done
lepota,beauty
pogon,drive
stal,stood
vsebujejo,contain
spredaj,front
poučevanje,teach
teden,week
final,final
dal,gave
zelena,green
oh,oh
hitra,quick
razvoj,develop
oceanov,ocean
toplo,warm
brezplačno,free
minute,minute
močna,strong
posebna,special
razum,mind
zadaj,behind
jasno,clear
rep,tail
proizvajajo,produce
dejstvo,fact
prostor,space
slišal,heard
najboljši,best
ura,hour
bolje,better
velja,true
med,during
sto,hundred
pet,five
ne pozabite,remember
korak,step
zgodaj,early
držite,hold
zahodno,west
zemlja,ground
obresti,interest
doseže,reach
hitro,fast
glagol,verb
pojejo,sing
poslušati,listen
šest,six
miza,table
travel,travel
manj,less
jutro,morning
ten,ten
preprost,simple
več,several
samoglasnik,vowel
proti,toward
vojna,war
določiti,lay
proti,against
vzorec,pattern
počasen,slow
center,center
ljubezen,love
oseba,person
denar,money
služijo,serve
pojavijo,appear
cesta,road
zemljevid,map
dež,rain
pravilo,rule
urejajo,govern
potegnite,pull
hladno,cold
obvestilo,notice
glas,voice
energije,energy
lov,hunt
verjetno,probable
postelja,bed
brat,brother
jajce,egg
vožnje,ride
celica,cell
verjamemo,believe
morda,perhaps
izberi,pick
nenadna,sudden
računati,count
square,square
razlog,reason
dolžina,length
predstavljajo,represent
umetnost,art
predmet,subject
okolica,region
velikost,size
razlikujejo,vary
poravnavo,settle
govorijo,speak
teža,weight
splošno,general
ice,ice
"glede na to,",matter
krog,circle
par,pair
vključujejo,include
divide,divide
zlog,syllable
čutil,felt
jurjev,grand
kroglični,ball
še,yet
val,wave
spusti,drop
srce,heart
am,am
prisoten,present
težka,heavy
ples,dance
motor,engine
položaj,position
ročica,arm
široka,wide
jadra,sail
Material,material
frakcija,fraction
gozd,forest
sit,sit
rase,race
okno,window
Trgovina,store
poletje,summer
vlak,train
spanja,sleep
dokazati,prove
samoten,lone
leg,leg
vadba,exercise
stena,wall
ulov,catch
Nastavek,mount
želja,wish
nebo,sky
penzion,board
joy,joy
zima,winter
sat,sat
pisna,written
divje,wild
inštrument,instrument
hrani,kept
steklo,glass
trava,grass
krava,cow
delo,job
rob,edge
znamenje,sign
obisk,visit
mimo,past
mehki,soft
zabavno,fun
svetla,bright
plin,gas
vreme,weather
mesec,month
milijonov,million
nosi,bear
konča,finish
srečen,happy
"upam,",hope
cvet,flower
oblekli,clothe
čudno,strange
odšli,gone
trgovina,trade
melodijo,melody
izlet,trip
pisarna,office
prejemanje,receive
vrstica,row
usta,mouth
natančen,exact
simbol,symbol
die,die
vsaj,least
Težava,trouble
vzklik,shout
razen,except
napisal,wrote
seme,seed
tona,tone
pridružite,join
predlagam,suggest
čist,clean
odmor,break
lady,lady
dvorišče,yard
narašča,rise
slabo,bad
pihalnega,blow
olje,oil
krvi,blood
dotikajte,touch
rasla,grew
centov,cent
premešamo,mix
ekipa,team
žica,wire
stroški,cost
izgubil,lost
rjava,brown
nosite,wear
vrt,garden
enako,equal
poslano,sent
izberite,choose
padel,fell
fit,fit
tok,flow
poštena,fair
banka,bank
zbiranje,collect
shranite,save
nadzor,control
decimalno,decimal
uho,ear
ostalo,else
precej,quite
zlomil,broke
primer,case
middle,middle
ubiti,kill
sin,son
jezero,lake
trenutek,moment
lestvica,scale
glasno,loud
pomlad,spring
opazovati,observe
otrok,child
naravnost,straight
soglasnikom,consonant
narod,nation
slovar,dictionary
mleko,milk
hitrost,speed
metoda,method
organov,organ
plačati,pay
starost,age
oddelek,section
obleka,dress
oblaku,cloud
presenečenje,surprise
tiho,quiet
kamen,stone
droben,tiny
vzpon,climb
cool,cool
zasnova,design
slaba,poor
veliko,lot
eksperiment,experiment
spodnji,bottom
ključ,key
likalnik,iron
enojni,single
palica,stick
pavšalni,flat
dvajset,twenty
koža,skin
nasmešek,smile
mečkanju,crease
luknja,hole
skok,jump
otroška,baby
osem,eight
vas,village
izpolnjujejo,meet
koren,root
nakup,buy
dvigniti,raise
reševanje,solve
kovine,metal
ali,whether
Pritisni,push
sedem,seven
odstavek,paragraph
tretji,third
se,shall
ročna,held
lasje,hair
opisati,describe
kuharica,cook
nadstropje,floor
bodisi,either
rezultat,result
gorijo,burn
hribu,hill
varna,safe
cat,cat
stoletje,century
"menijo,",consider
tip,type
pravo,law
bit,bit
obala,coast
izvod,copy
stavek,phrase
tiho,silent
visok,tall
pesek,sand
tal,soil
rolo,roll
temperaturo,temperature
prstov,finger
industrija,industry
vrednost,value
boj,fight
laž,lie
premagati,beat
navdušile,excite
naravna,natural
pogled,view
občutek,sense
kapital,capital
ne bo,won’t
stol,chair
nevarnost,danger
sadje,fruit
bogata,rich
debela,thick
vojak,soldier
proces,process
deluje,operate
praksa,practice
ločena,separate
težko,difficult
zdravnik,doctor
prosim,please
zaščito,protect
opoldne,noon
pridelka,crop
sodobna,modern
elementa,element
udaril,hit
študent,student
kotiček,corner
zabava,party
oskrba,supply
katerih,whose
poiščite,locate
obroč,ring
značaj,character
insect,insect
ujete,caught
obdobje,period
navesti,indicate
radijska,radio
govoril,spoke
atoma,atom
človek,human
zgodovina,history
učinek,effect
električni,electric
pričakujejo,expect
kostne,bone
železnici,rail
predstavljate,imagine
zagotavljajo,provide
se strinjam,agree
torej,thus
nežna,gentle
ženska,woman
kapetan,captain
Verjetno,guess
potrebno,necessary
ostra,sharp
krila,wing
ustvariti,create
sosed,neighbor
pranje,wash
netopirja,bat
precej,rather
množica,crowd
koruza,corn
primerjati,compare
pesem,poem
niz,string
bell,bell
odvisni,depend
meso,meat
rub,rub
cev,tube
slavni,famous
dolarjih,dollar
tok,stream
strah,fear
pogled,sight
tanka,thin
trikotnik,triangle
planet,planet
pohiti,hurry
glavni,chief
kolonija,colony
ura,clock
rudnik,mine
tie,tie
vpišite,enter
velika,major
sveža,fresh
iskanje,search
pošlji,send
rumena,yellow
gun,gun
omogočajo,allow
print,print
mrtvi,dead
mesto,spot
desert,desert
obleka,suit
sedanji,current
vlečnica,lift
povečale,rose
prispejo,arrive
mojster,master
steza,track
matična,parent
shore,shore
delitev,division
stanja,sheet
snov,substance
prednost,favor
povezati,connect
objave,post
preživeti,spend
tetiva,chord
maščobe,fat
vesel,glad
izvirnik,original
delež,share
postaja,station
oče,dad
kruh,bread
zaračuna,charge
pravilno,proper
barov,bar
ponudba,offer
segmenta,segment
suženj,slave
duck,duck
takojšnje,instant
trg,market
stopnja,degree
zapolnijo,populate
chick,chick
dragi,dear
sovražnik,enemy
odgovor,reply
pijača,drink
pojavijo,occur
podpora,support
govor,speech
narava,nature
območje,range
paro,steam
gibanja,motion
pot,path
tekočina,liquid
se prijavite,log
pomenilo,meant
kvocient,quotient
zobje,teeth
lupine,shell
vratu,neck
kisika,oxygen
sladkorja,sugar
smrt,death
precej,pretty
spretnost,skill
ženske,women
sezona,season
rešitev,solution
magnetni,magnet
srebrna,silver
hvala,thank
podružnica,branch
tekma,match
pripona,suffix
še posebej,especially
fig,fig
strah,afraid
velika,huge
sestra,sister
jeklo,steel
razpravljali,discuss
naprej,forward
podobno,similar
vodič,guide
izkušnje,experience
ocena,score
jabolko,apple
kupil,bought
vodil,led
smola,pitch
plašč,coat
masa,mass
kartice,card
pas,band
rope,rope
slip,slip
win,win
sanjati,dream
večer,evening
pogoj,condition
krma,feed
orodje,tool
objav,total
Osnovni,basic
vonj,smell
dolina,valley
niti,nor
dvojna,double
sedež,seat
naprej,continue
blok,block
grafikon,chart
hat,hat
prodamo,sell
uspeh,success
podjetje,company
odštevanje,subtract
dogodek,event
zlasti,particular
dogovor,deal
swim,swim
izraz,term
nasproti,opposite
žena,wife
čevelj,shoe
ramo,shoulder
širjenje,spread
uredi,arrange
tabor,camp
izumiti,invent
bombaž,cotton
Rojena,born
določitev,determine
kvartal,quart
devetimi,nine
tovornjak,truck
hrup,noise
raven,level
priložnost,chance
zbrati,gather
trgovina,shop
odsek,stretch
vrgel,throw
lesk,shine
nepremičnine,property
stolpec,column
molekula,molecule
izberite,select
narobe,wrong
siva,gray
repeat,repeat
zahtevajo,require
široka,broad
pripraviti,prepare
sol,salt
nos,nose
množina,plural
jeza,anger
trditev,claim
celina,continent
