గా,as
నేను,I
తన,his
ఆ,that
అతను,he
ఉంది,was
కోసం,for
న,on
ఉన్నాయి,are
తో,with
వారు,they
ఉంటుంది,be
వద్ద,at
ఒకటి,one
కలిగి,have
ఈ,this
నుండి,from
ద్వారా,by
వేడి,hot
పదం,word
కానీ,but
ఏమి,what
కొన్ని,some
ఉంది,is
ఇది,it
మీరు,you
లేదా,or
వచ్చింది,had
ది,the
యొక్క,of
కు,to
మరియు,and
ఒక,a
లో,in
మేము,we
చెయ్యవచ్చు,can
అవుట్,out
ఇతర,other
ఉన్నాయి,were
ఇది,which
చేయండి,do
వారి,their
సమయం,time
ఉంటే,if
రెడీ,will
ఎలా,how
అన్నాడు,said
ఒక,an
ప్రతి,each
చెప్పండి,tell
చేస్తుంది,does
సెట్,set
మూడు,three
కావలసిన,want
గాలి,air
బాగా,well
కూడా,also
ప్లే,play
చిన్న,small
ముగింపు,end
చాలు,put
హోమ్,home
చదవడానికి,read
చేతి,hand
పోర్ట్,port
పెద్ద,large
అక్షరక్రమ,spell
జోడించండి,add
కూడా,even
భూమి,land
ఇక్కడ,here
తప్పక,must
పెద్ద,big
అధిక,high
ఇటువంటి,such
అనుసరించండి,follow
చట్టం,act
ఎందుకు,why
గోవా,ask
పురుషులు,men
మార్పు,change
వెళ్ళింది,went
కాంతి,light
రకం,kind
ఆఫ్,off
అవసరం,need
ఇల్లు,house
చిత్రాన్ని,picture
ప్రయత్నించండి,try
మాకు,us
మళ్ళీ,again
జంతు,animal
పాయింట్,point
తల్లి,mother
ప్రపంచ,world
సమీపంలో,near
నిర్మించడానికి,build
స్వీయ,self
భూమి,earth
తండ్రి,father
ఏ,any
కొత్త,new
పని,work
భాగం,part
పడుతుంది,take
పొందండి,get
స్థలం,place
తయారు,made
నివసిస్తున్నారు,live
పేరు,where
తర్వాత,after
తిరిగి,back
చిన్న,little
మాత్రమే,only
రౌండ్,round
మనిషి,man
సంవత్సరం,year
వచ్చింది,came
షో,show
ప్రతి,every
మంచి,good
నాకు,me
ఇవ్వాలని,give
మా,our
కింద,under
పేరు,name
చాలా,very
ద్వారా,through
కేవలం,just
రూపం,form
వాక్యం,sentence
గొప్ప,great
అనుకుంటున్నాను,think
సే,say
సహాయం,help
తక్కువ,low
లైన్,line
తేడా,differ
మలుపు,turn
కారణం,cause
చాలా,much
అర్థం,mean
ముందు,before
తరలింపు,move
కుడి,right
బాయ్,boy
పాత,old
చాలా,too
అదే,same
ఆమె,she
అన్ని,all
అక్కడ,there
ఉన్నప్పుడు,when
అప్,up
ఉపయోగం,use
మీ,your
మార్గం,way
గురించి,about
అనేక,many
అప్పుడు,then
వాటిని,them
రాయడానికి,write
చేస్తాను,would
వంటి,like
కాబట్టి,so
ఈ,these
ఆమె యొక్క,her
దీర్ఘ,long
తయారు,make
విషయం,thing
చూడండి,see
అతనికి,him
రెండు,two
ఉంది,has
చూడండి,look
మరింత,more
రోజు,day
అనుకొనుట,could
వెళ్ళి,go
వచ్చిన,come
చేసింది,did
సంఖ్య,number
శబ్దము,sound
ఏ,no
అత్యంత,most
ప్రజలు,people
నా,my
పైగా,over
తెలుసు,know
నీటి,water
కంటే,than
కాల్,call
మొదటి,first
ఎవరు,who
మే,may
డౌన్,down
వైపు,side
ఉన్నాయి,been
ఇప్పుడు,now
కనుగొనేందుకు,find
తల,head
స్టాండ్,stand
సొంత,own
పేజీ,page
తప్పక,should
దేశం,country
దొరకలేదు,found
సమాధానం,answer
పాఠశాల,school
పెరుగుతాయి,grow
అధ్యయనం,study
ఇప్పటికీ,still
తెలుసుకోవడానికి,learn
మొక్క,plant
కవర్,cover
ఆహార,food
సూర్యుడు,sun
నాలుగు,four
మధ్య,between
రాష్ట్ర,state
ఉంచేందుకు,keep
కంటి,eye
ఎప్పుడూ,never
గత,last
వీలు,let
ఆలోచన,thought
నగరం,city
చెట్టు,tree
క్రాస్,cross
వ్యవసాయ,farm
హార్డ్,hard
ప్రారంభం,start
వాటిని,might
కథ,story
రంపపు,saw
ఇప్పటివరకు,far
సముద్ర,sea
డ్రా,draw
ఎడమ,left
చివరి,late
రన్,run
చేయలేను,don’t
అయితే,while
పత్రికా,press
దగ్గరగా,close
రాత్రి,night
నిజ,real
జీవితం,life
కొన్ని,few
ఉత్తర,north
పుస్తకం,book
తీసుకు,carry
పట్టింది,took
సైన్స్,science
తినడానికి,eat
గది,room
స్నేహితుడు,friend
ప్రారంభమైంది,began
ఆలోచన,idea
చేప,fish
పర్వతము,mountain
ఆపడానికి,stop
ఒకసారి,once
బేస్,base
విను,hear
గుర్రం,horse
కట్,cut
ఖచ్చితంగా,sure
చూడటానికి,watch
రంగు,color
ముఖం,face
చెక్క,wood
ప్రధాన,main
ఓపెన్,open
అనిపించవచ్చు,seem
కలిసి,together
తదుపరి,next
తెలుపు,white
పిల్లలు,children
ప్రారంభం,begin
వచ్చింది,got
నడిచి,walk
ఉదాహరణకు,example
సులభం,ease
కాగితం,paper
సమూహం,group
ఎల్లప్పుడూ,always
సంగీతం,music
ఆ,those
రెండు,both
మార్క్,mark
తరచుగా,often
లేఖ,letter
వరకు,until
మైలు,mile
నది,river
కారు,car
అడుగుల,feet
సంరక్షణ,care
రెండవ,second
తగినంత,enough
సాదా,plain
అమ్మాయి,girl
సాధారణ,usual
యువ,young
సిద్ధంగా,ready
పైన,above
ఎప్పుడూ,ever
ఎరుపు,red
జాబితా,list
అయితే,though
అనుభూతి,feel
చర్చ,talk
పక్షి,bird
త్వరలో,soon
శరీర,body
కుక్క,dog
కుటుంబం,family
ప్రత్యక్ష,direct
భంగిమలో,pose
వదిలి,leave
పాట,song
కొలవటానికి,measure
తలుపు,door
ఉత్పత్తి,product
నలుపు,black
చిన్న,short
సంఖ్యా,numeral
తరగతి,class
గాలి,wind
ప్రశ్న,question
జరిగే,happen
పూర్తి,complete
ఓడ,ship
ప్రాంతం,area
సగం,half
రాక్,rock
ఆర్డర్,order
అగ్ని,fire
దక్షిణ,south
సమస్య,problem
ముక్క,piece
చెప్పారు,told
తెలుసు,knew
పాస్,pass
నుండి,since
టాప్,top
మొత్తం,whole
రాజు,king
వీధి,street
అంగుళం,inch
గుణిస్తారు,multiply
ఏమీ,nothing
కోర్సు,course
ఉండడానికి,stay
చక్రం,wheel
పూర్తి,full
శక్తి,force
నీలం,blue
వస్తువు,object
నిర్ణయించుకుంటారు,decide
ఉపరితల,surface
లోతైన,deep
చంద్రుడు,moon
ద్వీపం,island
అడుగు,foot
వ్యవస్థ,system
బిజీగా,busy
పరీక్ష,test
రికార్డు,record
పడవ,boat
సాధారణ,common
బంగారు,gold
సాధ్యం,possible
విమానం,plane
మారుగా,stead
పొడి,dry
ఆశ్చర్యానికి,wonder
నవ్వు,laugh
వేల,thousand
క్రితం,ago
నడిచింది,ran
తనిఖీ,check
గేమ్,game
ఆకారం,shape
పోల్చుతారు,equate
వేడి,hot
మిస్,miss
తీసుకువచ్చారు,brought
వేడి,heat
మంచు,snow
టైర్,tire
తీసుకుని,bring
అవును,yes
సుదూర,distant
పూరించడానికి,fill
తూర్పు,east
పెయింట్,paint
భాష,language
మధ్య,among
యూనిట్,unit
శక్తి,power
పట్టణం,town
జరిమానా,fine
కొన్ని,certain
ఫ్లై,fly
వస్తాయి,fall
దారి,lead
క్రై,cry
కృష్ణ,dark
యంత్రం,machine
గమనిక,note
వేచి,wait
ప్రణాళిక,plan
ఫిగర్,figure
స్టార్,star
బాక్స్,box
నామవాచకం,noun
ఫీల్డ్,field
మిగిలిన,rest
సరైన,correct
సామర్థ్యం,able
పౌండ్,pound
పూర్తయింది,done
అందం,beauty
డ్రైవ్,drive
నిలిచి,stood
కలిగి,contain
ముందు,front
బోధించడానికి,teach
వారం,week
ఆఖరి,final
ఇచ్చింది,gave
ఆకుపచ్చ,green
ఓహ్,oh
శీఘ్ర,quick
అభివృద్ధి,develop
సముద్ర,ocean
వెచ్చని,warm
ఉచిత,free
నిమిషం,minute
బలమైన,strong
ప్రత్యేక,special
మనసు,mind
వెనుక,behind
స్పష్టమైన,clear
తోక,tail
ఉత్పత్తి,produce
నిజానికి,fact
స్పేస్,space
విన్న,heard
ఉత్తమ,best
గంట,hour
మంచి,better
నిజమైన,true
సమయంలో,during
వంద,hundred
ఐదు,five
గుర్తు,remember
అడుగు,step
ప్రారంభ,early
పట్టి,hold
పశ్చిమ,west
భూమి,ground
వడ్డీ,interest
చేరుకోవడానికి,reach
ఫాస్ట్,fast
క్రియ,verb
పాడే,sing
వినండి,listen
ఆరు,six
పట్టిక,table
ప్రయాణ,travel
తక్కువ,less
ఉదయం,morning
పది,ten
సాధారణ,simple
అనేక,several
అచ్చు,vowel
వైపు,toward
యుద్ధం,war
లే,lay
వ్యతిరేకంగా,against
నమూనా,pattern
నెమ్మదిగా,slow
సెంటర్,center
ప్రేమ,love
వ్యక్తి,person
డబ్బు,money
సర్వ్,serve
టెలిఫోన్,appear
రోడ్డు,road
మాప్,map
వర్షం,rain
పాలన,rule
పాలించే,govern
పుల్,pull
చల్లని,cold
నోటీసు,notice
వాయిస్,voice
శక్తి,energy
వేట,hunt
మూడింటిని,probable
మంచం,bed
సోదరుడు,brother
గుడ్డు,egg
రైడ్,ride
సెల్,cell
నమ్మకం,believe
బహుశా,perhaps
ఎంచుకోండి,pick
ఆకస్మిక,sudden
కౌంట్,count
చదరపు,square
కారణం,reason
పొడవు,length
య,represent
కళ,art
విషయం,subject
ప్రాంతం,region
పరిమాణం,size
మారుతుంటాయి,vary
స్థిరపడేందుకు,settle
మాట్లాడటం,speak
బరువు,weight
సాధారణ,general
మంచు,ice
విషయం,matter
సర్కిల్,circle
జత,pair
ఉన్నాయి,include
విభజన,divide
అక్షరం,syllable
భావించాడు,felt
గ్రాండ్,grand
బంతి,ball
ఇంకా,yet
అల,wave
డ్రాప్,drop
గుండె,heart
ఉన్నాను,am
ప్రస్తుతం,present
భారీ,heavy
డ్యాన్స్,dance
ఇంజిన్,engine
స్థానం,position
చేయి,arm
విస్తృత,wide
ప్రయాణమయ్యారు,sail
పదార్థం,material
భిన్నం,fraction
అటవీ,forest
కూర్చుని,sit
రేసు,race
విండో,window
స్టోర్,store
వేసవి,summer
రైలు,train
నిద్ర,sleep
రుజువు,prove
ఒంటరి,lone
లెగ్,leg
వ్యాయామం,exercise
గోడ,wall
క్యాచ్,catch
మౌంట్,mount
అనుకుంటున్నారా,wish
ఆకాశంలో,sky
బోర్డు,board
ఆనందం,joy
శీతాకాలంలో,winter
శని,sat
రాసిన,written
అడవి,wild
వాయిద్యం,instrument
ఉంచింది,kept
గాజు,glass
గడ్డి,grass
ఆవు,cow
ఉద్యోగం,job
అంచు,edge
సైన్,sign
పర్యటన,visit
గత,past
సాఫ్ట్,soft
సరదాగా,fun
బ్రైట్,bright
గ్యాస్,gas
వాతావరణ,weather
నెల,month
మిలియన్,million
భరించలేదని,bear
ముగింపు,finish
సంతోషంగా,happy
ఆశిస్తున్నాము,hope
పుష్పం,flower
దుస్తులు ధరింపజేయు,clothe
వింత,strange
వెళ్లిపోవడంతో,gone
వాణిజ్య,trade
శ్రావ్యత,melody
యాత్ర,trip
కార్యాలయం,office
అందుకుంటారు,receive
వరుసగా,row
నోరు,mouth
ఖచ్చితమైన,exact
చిహ్నం,symbol
చనిపోయే,die
కనీసం,least
ఇబ్బంది,trouble
అరవడం,shout
తప్ప,except
వ్రాసారు,wrote
విత్తనం,seed
టోన్,tone
చేరడానికి,join
సూచిస్తున్నాయి,suggest
శుభ్రంగా,clean
విరామం,break
లేడీ,lady
యార్డ్,yard
పెరగడం,rise
చెడు,bad
దెబ్బ,blow
చమురు,oil
రక్త,blood
టచ్,touch
పెరిగింది,grew
శాతం,cent
కలపాలి,mix
జట్టు,team
వైర్,wire
ధర,cost
కోల్పోయింది,lost
గోధుమ,brown
ధరిస్తారు,wear
తోట,garden
సమాన,equal
పంపిన,sent
ఎంచుకోండి,choose
పడిపోయింది,fell
సరిపోయే,fit
ప్రవాహం,flow
న్యాయమైన,fair
బ్యాంకు,bank
సేకరించడానికి,collect
సేవ్,save
నియంత్రణ,control
దశాంశ,decimal
చెవి,ear
వేరే,else
చాలా,quite
విరిగింది,broke
కేసు,case
మధ్య,middle
చంపడానికి,kill
కుమారుడు,son
సరస్సు,lake
క్షణం,moment
స్థాయి,scale
బిగ్గరగా,loud
వసంత,spring
గమనించి,observe
పిల్లల,child
నేరుగా,straight
హల్లు,consonant
దేశం,nation
నిఘంటువు,dictionary
పాలు,milk
వేగం,speed
పద్ధతి,method
అవయవ,organ
చెల్లించటానికి,pay
వయస్సు,age
విభాగం,section
దుస్తుల,dress
క్లౌడ్,cloud
ఆశ్చర్యం,surprise
నిశ్శబ్ద,quiet
రాయి,stone
చిన్న,tiny
ఆరోహణను,climb
చల్లని,cool
డిజైన్,design
పేద,poor
చాలా,lot
ప్రయోగం,experiment
దిగువ,bottom
కీ,key
ఇనుము,iron
ఒకే,single
స్టిక్,stick
ఫ్లాట్,flat
ఇరవై,twenty
చర్మం,skin
చిరునవ్వు,smile
క్రీజ్,crease
రంధ్రం,hole
జంప్,jump
బేబీ,baby
ఎనిమిది,eight
గ్రామం,village
మీట్,meet
రూట్,root
కొనుగోలు,buy
పెంచడానికి,raise
పరిష్కరించడానికి,solve
మెటల్,metal
లేదో,whether
పుష్,push
ఏడు,seven
పేరా,paragraph
మూడో,third
వలెను,shall
ఒక్కొక,held
జుట్టు,hair
వర్ణించేందుకు,describe
కుక్,cook
ఫ్లోర్,floor
గాని,either
ఫలితంగా,result
బర్న్,burn
కొండ,hill
సురక్షితంగా,safe
పిల్లి,cat
శతాబ్దం,century
పరిగణలోకి,consider
రకం,type
చట్టం,law
బిట్,bit
తీరం,coast
ప్రతిని,copy
పదబంధం,phrase
నిశ్శబ్ద,silent
పొడవైన,tall
ఇసుక,sand
మట్టి,soil
రోల్,roll
ఉష్ణోగ్రత,temperature
వేలు,finger
పరిశ్రమ,industry
విలువ,value
పోరాటం,fight
అబద్ధం,lie
ఓడించింది,beat
ఉత్సుకతను,excite
సహజ,natural
వీక్షణ,view
భావం,sense
రాజధాని,capital
రెడీ,won’t
కుర్చీ,chair
ప్రమాదం,danger
పండు,fruit
రిచ్,rich
మందపాటి,thick
సైనికుడు,soldier
ప్రక్రియ,process
పనిచేస్తాయి,operate
ఆచరణలో,practice
ప్రత్యేక,separate
కష్టం,difficult
డాక్టర్,doctor
దయచేసి,please
రక్షించేందుకు,protect
మధ్యాహ్నం,noon
పంట,crop
ఆధునిక,modern
మూలకం,element
హిట్,hit
విద్యార్థి,student
మూలలో,corner
పార్టీ,party
సరఫరా,supply
దీని,whose
గుర్తించడం,locate
రింగ్,ring
పాత్ర,character
క్రిమి,insect
క్యాచ్,caught
కాలం,period
సూచిస్తున్నాయి,indicate
రేడియో,radio
మాట్లాడారు,spoke
అణువు,atom
మానవ,human
చరిత్ర,history
ప్రభావం,effect
విద్యుత్,electric
ఆశించే,expect
ఎముక,bone
రైలు,rail
ఊహించే,imagine
అందించేందుకు,provide
అంగీకరిస్తున్నారు,agree
అందువలన,thus
సున్నితమైన,gentle
మహిళ,woman
కెప్టెన్,captain
అంచనా,guess
అవసరం,necessary
పదునైన,sharp
వింగ్,wing
సృష్టించడానికి,create
పొరుగు,neighbor
వాష్,wash
బ్యాట్,bat
కాకుండా,rather
గుంపు,crowd
మొక్కజొన్న,corn
సరిపోల్చండి,compare
పద్యం,poem
స్ట్రింగ్,string
బెల్,bell
ఆధారపడి,depend
మాంసం,meat
రబ్,rub
ట్యూబ్,tube
ప్రసిద్ధ,famous
డాలర్,dollar
స్ట్రీమ్,stream
భయము,fear
దృష్టి,sight
సన్నని,thin
త్రిభుజం,triangle
గ్రహం,planet
అత్యవసరము,hurry
చీఫ్,chief
కాలనీ,colony
గడియారం,clock
మైన్,mine
టై,tie
నమోదు,enter
ప్రధాన,major
తాజా,fresh
శోధన,search
పంపండి,send
పసుపు,yellow
తుపాకీ,gun
అనుమతిస్తాయి,allow
ముద్రణ,print
చనిపోయిన,dead
స్పాట్,spot
ఎడారి,desert
దావా,suit
ప్రస్తుత,current
లిఫ్ట్,lift
గులాబీ,rose
చేరు,arrive
మాస్టర్,master
ట్రాక్,track
పేరెంట్,parent
తీరం,shore
విభజన,division
షీట్,sheet
పదార్ధం,substance
మొగ్గుచూపుతున్నారు,favor
కనెక్ట్,connect
పోస్ట్,post
ఖర్చు,spend
తీగ,chord
కొవ్వు,fat
ఆనందంగా,glad
అసలు,original
వాటా,share
స్టేషన్,station
తండ్రి,dad
బ్రెడ్,bread
వసూలు,charge
సరైన,proper
బార్,bar
ఆఫర్,offer
సెగ్మెంట్,segment
బానిస,slave
డక్,duck
తక్షణ,instant
మార్కెట్,market
డిగ్రీ,degree
జనసాంద్రత,populate
చిక్,chick
ప్రియమైన,dear
శత్రువు,enemy
ప్రత్యుత్తరం,reply
పానీయం,drink
సంభవించవచ్చు,occur
మద్దతు,support
ప్రసంగం,speech
ప్రకృతి,nature
పరిధి,range
ఆవిరి,steam
చలన,motion
మార్గం,path
ద్రవ,liquid
లాగిన్,log
అర్థం,meant
కోశంట్,quotient
పళ్ళు,teeth
షెల్,shell
మెడ,neck
ఆక్సిజన్,oxygen
చక్కెర,sugar
మరణం,death
అందంగా,pretty
నైపుణ్యం,skill
మహిళలు,women
సీజన్,season
పరిష్కారం,solution
అయస్కాంతం,magnet
వెండి,silver
ధన్యవాదాలు,thank
శాఖ,branch
మ్యాచ్,match
ప్రత్యయం,suffix
ముఖ్యంగా,especially
అత్తి,fig
భయపడ్డారు,afraid
భారీ,huge
సోదరి,sister
స్టీల్,steel
చర్చించడానికి,discuss
ముందుకు,forward
ఇదే,similar
మార్గనిర్దేశం,guide
అనుభవం,experience
స్కోరు,score
ఆపిల్,apple
కొనుగోలు,bought
దారితీసింది,led
పిచ్,pitch
కోటు,coat
మాస్,mass
కార్డ్,card
బ్యాండ్,band
తాడు,rope
స్లిప్,slip
విజయం,win
కావాలని,dream
సాయంత్రం,evening
పరిస్థితి,condition
ఫీడ్,feed
సాధనం,tool
మొత్తం,total
ప్రాథమిక,basic
వాసన,smell
లోయలో,valley
లేదా,nor
డబుల్,double
సీటు,seat
కొనసాగుతుంది,continue
బ్లాక్,block
చార్ట్,chart
టోపీ,hat
అమ్మే,sell
విజయం,success
సంస్థ,company
వ్యవకలనం,subtract
ఈవెంట్,event
ప్రత్యేక,particular
ఒప్పందం,deal
ఈత,swim
పదం,term
వ్యతిరేక,opposite
భార్య,wife
షూ,shoe
భుజం,shoulder
స్ప్రెడ్,spread
ఏర్పాట్లు,arrange
శిబిరం,camp
కనుగొనడమే,invent
పత్తి,cotton
పుట్టినప్పటి,born
గుర్తించడానికి,determine
కొలత గల పాత్ర,quart
తొమ్మిది,nine
ట్రక్,truck
శబ్దం,noise
స్థాయి,level
క్రీడల్లో అవకాశాలు,chance
సేకరించడానికి,gather
షాప్,shop
సాగిన,stretch
త్రో,throw
బాగా చేయు,shine
ఆస్తి,property
కాలమ్,column
అణువు,molecule
ఎంచుకోండి,select
తప్పు,wrong
బూడిద,gray
రిపీట్,repeat
అవసరం,require
విస్తృత,broad
సిద్ధం,prepare
ఉప్పు,salt
ముక్కు,nose
బహువచనం,plural
కోపం,anger
దావా,claim
ఖండం,continent
