as,as
Ek,I
sy,his
wat,that
hy,he
was,was
vir,for
op,on
is,are
met,with
hulle,they
wees,be
op,at
een,one
het,have
hierdie,this
uit,from
deur,by
warm,hot
woord,word
maar,but
wat,what
sommige,some
is,is
dit,it
jy,you
of,or
moes,had
die,the
van,of
te,to
en,and
’n,a
in,in
ons,we
kan,can
uit,out
ander,other
was,were
wat,which
doen,do
hul,their
tyd,time
indien,if
sal,will
hoe,how
gesê,said
’n,an
elke,each
vertel,tell
doen,does
stel,set
drie,three
wil,want
lug,air
goed,well
ook,also
speel,play
klein,small
einde,end
sit,put
huis,home
lees,read
hand,hand
hawe,port
groot,large
spel,spell
voeg,add
selfs,even
land,land
hier,here
moet,must
groot,big
hoë,high
sodanige,such
volg,follow
Wet,act
Hoekom,why
vra,ask
mans,men
verandering,change
gegaan,went
lig,light
soort,kind
af,off
nodig,need
huis,house
prentjie,picture
probeer,try
ons,us
weer,again
dier,animal
punt,point
ma,mother
wêreld,world
naby,near
bou,build
self,self
aarde,earth
vader,father
enige,any
nuwe,new
werk,work
deel,part
neem,take
kry,get
plek,place
gemaak,made
lewe,live
waar,where
na,after
terug,back
bietjie,little
slegs,only
ronde,round
man,man
jaar,year
gekom,came
show,show
elke,every
goeie,good
my,me
gee,give
ons,our
onder,under
naam,name
baie,very
deur,through
net,just
vorm,form
vonnis,sentence
groot,great
dink,think
sê,say
help,help
lae,low
lyn,line
verskil,differ
beurt,turn
oorsaak,cause
veel,much
beteken,mean
voor,before
skuif,move
reg,right
seuntjie,boy
ou,old
te,too
dieselfde,same
sy,she
al,all
daar,there
wanneer,when
up,up
gebruik,use
jou,your
manier,way
oor,about
baie,many
dan,then
hulle,them
skryf,write
sou,would
soos,like
so,so
hierdie,these
haar,her
lang,long
maak,make
ding,thing
sien,see
hom,him
twee,two
het,has
kyk,look
meer,more
dag,day
kon,could
gaan,go
kom,come
het,did
aantal,number
klink,sound
geen,no
mees,most
mense,people
my,my
oor,over
weet,know
water,water
as,than
oproep,call
eerste,first
wat,who
mag,may
af,down
kant,side
gewees,been
nou,now
vind,find
hoof,head
staan,stand
eie,own
bladsy,page
behoort,should
land,country
gevind,found
antwoord,answer
skool,school
groei,grow
studie,study
steeds,still
leer,learn
plant,plant
dekking,cover
voedsel,food
son,sun
vier,four
tussen,between
staat,state
hou,keep
oog,eye
nooit,never
laaste,last
laat,let
gedink,thought
stad,city
boom,tree
steek,cross
plaas,farm
hard,hard
Begin,start
mag,might
storie,story
saag,saw
ver,far
see,sea
trek,draw
verlaat,left
laat,late
hardloop,run
doen nie,don’t
terwyl,while
pers,press
naby,close
nag,night
werklike,real
lewe,life
paar,few
noord,north
boek,book
voer,carry
het,took
wetenskap,science
eet,eat
kamer,room
vriend,friend
begin,began
idee,idea
vis,fish
berg,mountain
stop,stop
keer,once
basis,base
hoor,hear
perd,horse
cut,cut
seker,sure
kyk,watch
kleur,color
gesig,face
hout,wood
hoof,main
oop,open
lyk,seem
saam,together
volgende,next
wit,white
kinders,children
begin,begin
het,got
loop,walk
byvoorbeeld,example
verlig,ease
papier,paper
groep,group
altyd,always
musiek,music
diegene,those
beide,both
merk,mark
dikwels,often
brief,letter
totdat,until
myl,mile
rivier,river
motor,car
voete,feet
sorg,care
tweede,second
genoeg,enough
vlakte,plain
meisie,girl
gewone,usual
jong,young
gereed,ready
bo,above
ooit,ever
rooi,red
lys,list
alhoewel,though
voel,feel
Besprekings,talk
voël,bird
gou,soon
liggaam,body
hond,dog
gesin,family
direkte,direct
inhou,pose
verlaat,leave
lied,song
meet,measure
deur,door
produk,product
swart,black
kort,short
Syfer,numeral
klas,class
wind,wind
vraag,question
gebeur,happen
volledige,complete
skip,ship
gebied,area
helfte,half
rock,rock
orde,order
vuur,fire
Suid-,south
probleem,problem
stukkie,piece
vertel,told
geweet,knew
slaag,pass
sedert,since
top,top
geheel,whole
koning,king
straat,street
duim,inch
vermeerder,multiply
niks,nothing
natuurlik,course
bly,stay
wiel,wheel
volle,full
krag,force
blou,blue
voorwerp,object
besluit,decide
oppervlak,surface
diep,deep
maan,moon
eiland,island
voet,foot
stelsel,system
besig,busy
toets,test
rekord,record
boot,boat
gemeenskaplike,common
goud,gold
moontlik,possible
vliegtuig,plane
plek,stead
droë,dry
wonder,wonder
lag,laugh
duisend,thousand
gelede,ago
hardloop,ran
kyk,check
spel,game
vorm,shape
gelyk,equate
warm,hot
mis,miss
gebring,brought
hitte,heat
sneeu,snow
band,tire
bring,bring
Ja,yes
verre,distant
vul,fill
oos,east
verf,paint
taal,language
onder,among
eenheid,unit
krag,power
dorp,town
fyn,fine
sekere,certain
vlieg,fly
val,fall
lei,lead
geroep,cry
donker,dark
masjien,machine
noot,note
wag,wait
plan,plan
figuur,figure
ster,star
box,box
naamwoord,noun
gebied,field
res,rest
korrekte,correct
staat,able
pond,pound
gedoen,done
skoonheid,beauty
ry,drive
staan,stood
bevat,contain
front,front
leer,teach
week,week
finale,final
gegee,gave
groen,green
o,oh
vinnige,quick
ontwikkel,develop
oseaan,ocean
warm,warm
gratis,free
minuut,minute
sterk,strong
spesiale,special
gedagte,mind
agter,behind
duidelik,clear
stert,tail
produseer,produce
Trouens,fact
ruimte,space
gehoor,heard
beste,best
uur,hour
beter,better
ware,true
tydens,during
honderd,hundred
vyf,five
onthou,remember
stap,step
vroeë,early
hou,hold
West,west
grond,ground
belangstelling,interest
bereik,reach
vinnig,fast
werkwoord,verb
sing,sing
luister,listen
ses,six
tafel,table
Reis,travel
minder,less
oggend,morning
tien,ten
eenvoudige,simple
verskeie,several
vokaal,vowel
teenoor,toward
oorlog,war
lê,lay
teen,against
patroon,pattern
stadig,slow
sentrum,center
liefde,love
persoon,person
geld,money
dien,serve
verskyn,appear
pad,road
kaart,map
reën,rain
reël,rule
regeer,govern
trek,pull
koue,cold
kennisgewing,notice
stem,voice
energie,energy
jag,hunt
waarskynlike,probable
bed,bed
broer,brother
eier,egg
rit,ride
sel,cell
glo,believe
miskien,perhaps
kies,pick
skielike,sudden
tel,count
vierkante,square
rede,reason
lengte,length
verteenwoordig,represent
kuns,art
onderwerp,subject
streek,region
grootte,size
wissel,vary
vestig,settle
praat,speak
gewig,weight
algemene,general
ys,ice
saak,matter
sirkel,circle
paar,pair
sluit,include
verdeel,divide
lettergreep,syllable
gevoel,felt
grand,grand
bal,ball
nog,yet
golf,wave
drop,drop
hart,heart
is,am
huidige,present
swaar,heavy
dans,dance
enjin,engine
posisie,position
arm,arm
wye,wide
vaar,sail
materiaal,material
breuk,fraction
bos,forest
sit,sit
ras,race
venster,window
winkel,store
somer,summer
trein,train
slaap,sleep
bewys,prove
eensaam,lone
been,leg
oefening,exercise
muur,wall
vangs,catch
berg,mount
wens,wish
lug,sky
direksie,board
vreugde,joy
winter,winter
Sat,sat
geskryf,written
wilde,wild
instrument,instrument
gehou,kept
glas,glass
gras,grass
koei,cow
werk,job
rand,edge
teken,sign
besoek,visit
verlede,past
sagte,soft
pret,fun
helder,bright
gas,gas
weer,weather
maand,month
miljoen,million
dra,bear
afwerking,finish
gelukkig,happy
hoop,hope
blom,flower
beklee,clothe
vreemde,strange
weg,gone
handel,trade
melodie,melody
reis,trip
kantoor,office
ontvang,receive
ry,row
mond,mouth
presiese,exact
simbool,symbol
sterf,die
minste,least
moeilikheid,trouble
skree,shout
behalwe,except
geskryf,wrote
saad,seed
toon,tone
sluit,join
stel,suggest
skoon,clean
break,break
lady,lady
agterplaas,yard
styg,rise
slegte,bad
blow,blow
olie,oil
bloed,blood
raak,touch
gegroei,grew
persent,cent
meng,mix
span,team
draad,wire
koste,cost
verloor,lost
bruin,brown
dra,wear
tuin,garden
gelyke,equal
gestuur,sent
kies,choose
val,fell
pas,fit
vloei,flow
billike,fair
bank,bank
versamel,collect
red,save
beheer,control
desimale,decimal
oor,ear
anders,else
baie,quite
gebreek,broke
geval,case
middel,middle
dood te maak,kill
seun,son
meer,lake
oomblik,moment
skaal,scale
hard,loud
die lente,spring
neem,observe
kind,child
reguit,straight
konsonant,consonant
nasie,nation
woordeboek,dictionary
melk,milk
spoed,speed
metode,method
orrel,organ
betaal,pay
ouderdom,age
artikel,section
rok,dress
wolk,cloud
verrassing,surprise
stil,quiet
klip,stone
klein,tiny
klim,climb
Modern,cool
ontwerp,design
swak,poor
baie,lot
eksperiment,experiment
onderkant,bottom
sleutel,key
yster,iron
enkele,single
stok,stick
plat,flat
twintig,twenty
vel,skin
glimlag,smile
toename,crease
gat,hole
spring,jump
baba,baby
agt,eight
dorpie,village
ontmoet,meet
wortel,root
koop,buy
verhoog,raise
los,solve
metaal,metal
of,whether
stoot,push
sewe,seven
paragraaf,paragraph
derde,third
sal,shall
gehou,held
hare,hair
beskryf,describe
kok,cook
vloer,floor
óf,either
gevolg,result
brand,burn
Hill,hill
veilig,safe
kat,cat
eeu,century
oorweeg,consider
tipe,type
wet,law
bietjie,bit
kus,coast
afskrif,copy
frase,phrase
stil,silent
hoë,tall
sand,sand
grond,soil
roll,roll
temperatuur,temperature
vinger,finger
bedryf,industry
waarde,value
stryd,fight
leuen,lie
klop,beat
opgewonde,excite
natuurlike,natural
view,view
sin,sense
kapitaal,capital
sal nie,won’t
stoel,chair
gevaar,danger
vrugte,fruit
ryk,rich
dik,thick
soldaat,soldier
proses,process
bedryf,operate
praktyk,practice
afsonderlike,separate
moeilik,difficult
dokter,doctor
asseblief,please
beskerm,protect
middag,noon
oes,crop
moderne,modern
element,element
getref,hit
student,student
hoek,corner
partytjie,party
toevoer,supply
wie se,whose
spoor,locate
ring,ring
karakter,character
insekte,insect
gevang,caught
tydperk,period
dui,indicate
radio,radio
gepraat,spoke
atoom,atom
menslike,human
geskiedenis,history
uitwerking,effect
elektriese,electric
verwag,expect
been,bone
spoor,rail
dink,imagine
verskaf,provide
saamstem,agree
dus,thus
sagte,gentle
vrou,woman
kaptein,captain
raai,guess
nodige,necessary
skerp,sharp
vleuel,wing
skep,create
naaste,neighbor
wash,wash
kolf,bat
eerder,rather
skare,crowd
koring,corn
vergelyk,compare
gedig,poem
string,string
klok,bell
afhang,depend
vleis,meat
vryf,rub
buis,tube
bekende,famous
dollar,dollar
stroom,stream
vrees,fear
oë,sight
dun,thin
driehoek,triangle
planeet,planet
haastig,hurry
hoof,chief
kolonie,colony
klok,clock
myn,mine
tie,tie
betree,enter
groot,major
vars,fresh
soek,search
stuur,send
geel,yellow
geweer,gun
toelaat,allow
Druk,print
dood,dead
spot,spot
woestyn,desert
pak,suit
huidige,current
lift,lift
gestyg,rose
kom,arrive
meester,master
spoor,track
ouer,parent
strand,shore
afdeling,division
blad,sheet
stof,substance
guns,favor
koppel,connect
post,post
spandeer,spend
koord,chord
vet,fat
bly,glad
oorspronklike,original
aandeel,share
stasie,station
pa,dad
brood,bread
hef,charge
behoorlike,proper
bar,bar
aanbod,offer
segment,segment
slaaf,slave
eend,duck
direkte,instant
mark,market
graad,degree
vul,populate
chick,chick
liewe,dear
vyand,enemy
antwoord,reply
drink,drink
voorkom,occur
ondersteuning,support
toespraak,speech
aard,nature
reeks,range
stoom,steam
beweging,motion
pad,path
vloeistof,liquid
teken,log
bedoel,meant
kwosiënt,quotient
tande,teeth
dop,shell
nek,neck
suurstof,oxygen
suiker,sugar
dood,death
mooi,pretty
vaardigheid,skill
vroue,women
seisoen,season
oplossing,solution
Magnet,magnet
silwer,silver
dankie,thank
tak,branch
wedstryd,match
agtervoegsel,suffix
veral,especially
Fig,fig
bang,afraid
groot,huge
suster,sister
staal,steel
bespreek,discuss
vorentoe,forward
soortgelyke,similar
lei,guide
ervaring,experience
telling,score
appel,apple
gekoop,bought
gelei,led
steek,pitch
rok,coat
massa,mass
kaart,card
groep,band
tou,rope
strokie,slip
oorwinning,win
droom,dream
aand,evening
toestand,condition
voer,feed
hulpmiddel,tool
totale,total
basiese,basic
reuk,smell
vallei,valley
of,nor
dubbel,double
sitplek,seat
voortgaan,continue
blok,block
grafiek,chart
hoed,hat
verkoop,sell
sukses,success
maatskappy,company
aftrek,subtract
gebeurtenis,event
bepaalde,particular
transaksie,deal
swem,swim
term,term
teenoorgestelde,opposite
vrou,wife
skoen,shoe
skouer,shoulder
verspreiding,spread
reël,arrange
kamp,camp
bedink,invent
katoen,cotton
Gebore,born
bepaal,determine
kwart,quart
nege,nine
vragmotor,truck
geraas,noise
vlak,level
kans,chance
versamel,gather
winkel,shop
rek,stretch
gooi,throw
skyn,shine
eiendom,property
kolom,column
molekule,molecule
kies,select
verkeerd,wrong
grys,gray
herhaling,repeat
vereis,require
breë,broad
voor te berei,prepare
sout,salt
neus,nose
meervoud,plural
woede,anger
eis,claim
vasteland,continent
