તરીકે,as
હું,I
તેના,his
કે,that
તે,he
હતી,was
માટે,for
પર,on
છે,are
સાથે,with
તેઓ,they
પ્રયત્ન,be
પર,at
એક,one
છે,have
આ,this
થી,from
દ્વારા,by
ગરમ,hot
શબ્દ,word
પરંતુ,but
શું,what
કેટલાક,some
છે,is
તે,it
તમે,you
અથવા,or
હતી,had
આ,the
ના,of
માટે,to
અને,and
એક,a
માં,in
અમે,we
આ કરી શકો છો,can
બહાર,out
અન્ય,other
હતા,were
જે,which
કરી,do
તેમના,their
સમય,time
જો,if
કરશે,will
કેવી રીતે,how
"જણાવ્યું હતું કે,",said
એક,an
દરેક,each
કહી,tell
કરે,does
સમૂહ,set
ત્રણ,three
માંગો છો,want
હવા,air
સાથે સાથે,well
પણ,also
રમવા,play
નાના,small
અંત,end
મૂકી,put
ઘર,home
વાંચો,read
હાથ,hand
પોર્ટ,port
મોટા,large
જોડણી,spell
ઉમેરો,add
પણ,even
જમીન,land
અહીં,here
જ જોઈએ,must
મોટા,big
ઉચ્ચ,high
જેમ કે,such
અનુસરો,follow
અધિનિયમ,act
શા માટે,why
પૂછો,ask
પુરુષો,men
ફેરફાર,change
ગયા,went
પ્રકાશ,light
પ્રકારની,kind
બંધ,off
જરૂર,need
ઘર,house
ચિત્ર,picture
પ્રયાસ,try
અમને,us
ફરીથી,again
પ્રાણી,animal
બિંદુ,point
માતા,mother
વિશ્વ,world
નજીક,near
બિલ્ડ,build
સ્વ,self
પૃથ્વી,earth
પિતા,father
કોઈપણ,any
નવા,new
કામ,work
ભાગ,part
લો,take
વિચાર,get
સ્થળ,place
કરી,made
રહે છે,live
જ્યાં,where
પછી,after
પાછા,back
ઓછી,little
માત્ર,only
રાઉન્ડ,round
માણસ,man
વર્ષ,year
આવી,came
શો,show
દરેક,every
સારું,good
મને,me
આપે,give
અમારા,our
હેઠળ,under
નામ,name
ખૂબ,very
દ્વારા,through
માત્ર,just
ફોર્મ,form
સજા,sentence
મહાન,great
લાગે છે,think
કહે,say
મદદ,help
ઓછી,low
રેખા,line
અલગ,differ
વળાંક,turn
કારણ,cause
ખૂબ,much
અર્થ,mean
પહેલાં,before
ચાલ,move
અધિકાર,right
છોકરો,boy
જૂના,old
પણ,too
જ,same
તે,she
બધા,all
ત્યાં,there
જ્યારે,when
અપ,up
ઉપયોગ,use
તમારા,your
માર્ગ,way
વિશે,about
ઘણા,many
પછી,then
તેમને,them
લખવા,write
કરશે,would
જેમ,like
તેથી,so
આ,these
તેના,her
લાંબા,long
કરો,make
વસ્તુ,thing
જુઓ,see
તેને,him
બે,two
છે,has
જુઓ,look
વધુ,more
દિવસ,day
કરી શકે છે,could
જાઓ,go
આવે,come
હતી,did
નંબર,number
ધ્વનિ,sound
કોઈ,no
સૌથી,most
લોકો,people
મારા,my
પર,over
ખબર,know
પાણી,water
કરતાં,than
કૉલ,call
પ્રથમ,first
જે,who
કરી શકે છે,may
નીચે,down
બાજુ,side
આવી,been
હવે,now
શોધવા,find
વડા,head
ઊભા,stand
પોતાના,own
પાનું,page
જોઈએ,should
દેશ,country
મળી,found
જવાબ,answer
શાળા,school
વૃદ્ધિ,grow
અભ્યાસ,study
હજુ પણ,still
જાણવા,learn
પ્લાન્ટ,plant
કવર,cover
ખોરાક,food
સૂર્ય,sun
ચાર,four
વચ્ચે,between
રાજ્ય,state
રાખો,keep
આંખ,eye
ક્યારેય,never
છેલ્લા,last
દો,let
વિચાર્યું,thought
શહેર,city
વૃક્ષ,tree
પાર,cross
ફાર્મ,farm
હાર્ડ,hard
શરૂઆત,start
કદાચ,might
વાર્તા,story
લાકડાં,saw
અત્યાર સુધી,far
સમુદ્ર,sea
ડ્રો,draw
બાકી,left
અંતમાં,late
રન,run
ન,don’t
જ્યારે,while
પ્રેસ,press
બંધ,close
રાત,night
વાસ્તવિક,real
જીવન,life
થોડા,few
ઉત્તર,north
પુસ્તક,book
ચાલુ,carry
લીધો,took
વિજ્ઞાન,science
ખાય,eat
રૂમ,room
મિત્ર,friend
શરૂ કર્યું,began
વિચાર,idea
માછલી,fish
પર્વત,mountain
બંધ,stop
એક વખત,once
આધાર,base
સાંભળવા,hear
ઘોડો,horse
કટ,cut
ખાતરી કરો,sure
જુઓ,watch
રંગ,color
ચહેરો,face
લાકડું,wood
મુખ્ય,main
ઓપન,open
લાગે,seem
એક સાથે,together
આગામી,next
સફેદ,white
બાળકો,children
શરૂ,begin
મળી,got
ચાલવા,walk
ઉદાહરણ,example
સરળ,ease
કાગળ,paper
જૂથ,group
હંમેશા,always
સંગીત,music
તે,those
બંને,both
ચિહ્ન,mark
વારંવાર,often
અક્ષર,letter
ત્યાં સુધી,until
માઇલ,mile
નદી,river
કાર,car
પગ,feet
સંભાળ,care
બીજા,second
પર્યાપ્ત,enough
સાદા,plain
છોકરી,girl
સામાન્ય,usual
યુવાન,young
તૈયાર,ready
ઉપર,above
ક્યારેય,ever
લાલ,red
યાદી,list
છતાં,though
લાગે,feel
ચર્ચા,talk
પક્ષી,bird
ટૂંક સમયમાં,soon
શરીર,body
કૂતરો,dog
કુટુંબ,family
સીધા,direct
દંભ,pose
છોડી,leave
ગીત,song
માપવા,measure
બારણું,door
ઉત્પાદન,product
કાળા,black
ટૂંકા,short
આંકડો,numeral
વર્ગ,class
પવન,wind
પ્રશ્ન,question
થાય,happen
પૂર્ણ,complete
જહાજ,ship
વિસ્તાર,area
છ,half
રોક,rock
માટે,order
આગ,fire
દક્ષિણ,south
સમસ્યા,problem
ભાગ,piece
જણાવ્યું,told
જાણતા હતા,knew
પસાર,pass
કારણ,since
ટોચ,top
સમગ્ર,whole
રાજા,king
શેરી,street
ઇંચ,inch
ગુણાકાર,multiply
કંઈ,nothing
અલબત્ત,course
રહેવા,stay
વ્હીલ,wheel
સંપૂર્ણ,full
બળ,force
વાદળી,blue
પદાર્થ,object
નક્કી,decide
સપાટી,surface
ઊંડા,deep
ચંદ્ર,moon
ટાપુ,island
પગ,foot
સિસ્ટમ,system
વ્યસ્ત,busy
ટેસ્ટ,test
રેકોર્ડ,record
હોડી,boat
સામાન્ય,common
ગોલ્ડ,gold
શક્ય,possible
વિમાન,plane
સ્ટીડનો,stead
શુષ્ક,dry
આશ્ચર્ય,wonder
હસે,laugh
હજાર,thousand
પહેલા,ago
ચાલી હતી,ran
તપાસ,check
રમત,game
આકાર,shape
સમીકરણ,equate
ગરમ,hot
ગુમ,miss
લાવ્યા,brought
ગરમી,heat
બરફ,snow
ટાયર,tire
લાવવા,bring
હા,yes
દૂરના,distant
ભરો,fill
પૂર્વ,east
રંગ,paint
ભાષા,language
વચ્ચે,among
એકમ,unit
શક્તિ,power
નગર,town
દંડ,fine
ચોક્કસ,certain
ઉડાન,fly
આવતા,fall
દોરી,lead
કોલાહલ,cry
શ્યામ,dark
મશીન,machine
નોંધ,note
રાહ,wait
યોજના,plan
આકૃતિ,figure
સ્ટાર,star
બોક્સ,box
નામ,noun
ક્ષેત્ર,field
બાકીના,rest
યોગ્ય,correct
સક્ષમ,able
પાઉન્ડ,pound
પૂર્ણ,done
સુંદરતા,beauty
ડ્રાઇવ,drive
હતી,stood
સમાવે,contain
સામે,front
શીખવવા,teach
સપ્તાહ,week
અંતિમ,final
આપ્યો,gave
લીલા,green
ઓહ,oh
ઝડપી,quick
વિકાસ,develop
સમુદ્ર,ocean
ગરમ,warm
મફત,free
મિનિટ,minute
મજબૂત,strong
ખાસ,special
મન,mind
પાછળ,behind
પારદર્શક,clear
પૂંછડી,tail
ઉત્પાદન,produce
હકીકત,fact
જગ્યા,space
સાંભળ્યું,heard
શ્રેષ્ઠ,best
કલાક,hour
સારી,better
સાચું,true
દરમિયાન,during
સો,hundred
પાંચ,five
યાદ,remember
પગલું,step
પ્રારંભિક,early
પકડી,hold
પશ્ચિમ,west
જમીન,ground
રસ,interest
સુધી પહોંચવા,reach
ઝડપી,fast
ક્રિયાપદ,verb
ગાય,sing
સાંભળવા,listen
છ,six
ટેબલ,table
પ્રવાસ,travel
ઓછી,less
સવારે,morning
દસ,ten
સરળ,simple
અનેક,several
સ્વર,vowel
તરફ,toward
યુદ્ધ,war
મૂકે,lay
સામે,against
પેટર્ન,pattern
ધીમી,slow
કેન્દ્ર,center
પ્રેમ,love
વ્યક્તિ,person
પૈસા,money
સેવા આપવા,serve
દેખાય,appear
માર્ગ,road
નકશો,map
વરસાદ,rain
નિયમ,rule
સંચાલન,govern
ખેંચી,pull
ઠંડા,cold
નોટિસ,notice
અવાજ,voice
ઊર્જા,energy
શિકાર,hunt
સંભવિત,probable
બેડ,bed
ભાઈ,brother
ઇંડા,egg
સવારી,ride
સેલ,cell
માને,believe
કદાચ,perhaps
પસંદ,pick
અચાનક,sudden
ગણતરી,count
ચોરસ,square
કારણ,reason
લંબાઈ,length
પ્રતિનિધિત્વ,represent
કલા,art
વિષય,subject
પ્રદેશ,region
કદ,size
અલગ અલગ હોય છે,vary
પતાવટ,settle
વાત,speak
વજન,weight
સામાન્ય,general
બરફ,ice
બાબત,matter
વર્તુળ,circle
જોડી,pair
સમાવેશ થાય છે,include
વિભાજન,divide
ઉચ્ચારણ,syllable
લાગ્યું,felt
ગ્રાન્ડ,grand
બોલ,ball
હજુ સુધી,yet
તરંગ,wave
છોડો,drop
હૃદય,heart
છું,am
હાજર,present
ભારે,heavy
નૃત્ય,dance
એન્જિન,engine
સ્થિતિ,position
હાથ,arm
વિશાળ,wide
સઢ,sail
સામગ્રી,material
અપૂર્ણાંક,fraction
વન,forest
બેસી,sit
રેસ,race
વિન્ડો,window
સ્ટોર,store
ઉનાળામાં,summer
ટ્રેન,train
ઊંઘ,sleep
સાબિત,prove
એકલા,lone
બોલ,leg
કસરત,exercise
દિવાલ,wall
કેચ,catch
માઉન્ટ,mount
માંગો,wish
આકાશ,sky
બોર્ડ,board
આનંદ,joy
શિયાળામાં,winter
શનિ,sat
લખવામાં,written
જંગલી,wild
સાધન,instrument
રાખવામાં,kept
કાચ,glass
ઘાસ,grass
ગાય,cow
કામ,job
ધાર,edge
સાઇન,sign
મુલાકાત,visit
છેલ્લા,past
નરમ,soft
મજા,fun
તેજસ્વી,bright
ગેસ,gas
હવામાન,weather
મહિનો,month
મિલિયન,million
સહન,bear
સમાપ્ત,finish
સુખી,happy
આશા,hope
ફૂલ,flower
વસ્ત્રની,clothe
વિચિત્ર,strange
ગયો,gone
વેપાર,trade
મેલોડી,melody
પ્રવાસ,trip
ઓફિસ,office
પ્રાપ્ત,receive
પંક્તિ,row
મોં,mouth
ચોક્કસ,exact
પ્રતીક,symbol
મૃત્યુ પામે છે,die
ઓછા,least
મુશ્કેલી,trouble
પાડો,shout
સિવાય,except
લખ્યું,wrote
બીજ,seed
સ્વર,tone
જોડાવા,join
સૂચવે છે,suggest
સ્વચ્છ,clean
વિરામ,break
મહિલા,lady
યાર્ડ,yard
વધારો,rise
ખરાબ,bad
ફટકો,blow
તેલ,oil
રક્ત,blood
સ્પર્શ,touch
વધારો થયો હતો,grew
ટકા,cent
મિશ્રણ,mix
ટીમ,team
વાયર,wire
ખર્ચ,cost
ગુમાવી,lost
બદામી,brown
ભાષા,wear
બગીચો,garden
સમાન,equal
મોકલવામાં,sent
પસંદ,choose
હતો,fell
ફિટ,fit
પ્રવાહ,flow
વાજબી,fair
બેંક,bank
એકત્રિત,collect
સેવ,save
નિયંત્રણ,control
બાદ,decimal
કાન,ear
અન્ય,else
તદ્દન,quite
તોડી,broke
કેસ,case
મધ્યમ,middle
મારી,kill
પુત્ર,son
તળાવ,lake
ક્ષણ,moment
સ્કેલ,scale
મોટા,loud
વસંત,spring
અવલોકન,observe
બાળક,child
કોઈ રન નોંધાયો નહીં,straight
વ્યંજન,consonant
રાષ્ટ્ર,nation
શબ્દકોશ,dictionary
દૂધ,milk
ઝડપ,speed
પદ્ધતિ,method
અંગ,organ
ચૂકવણી,pay
ઉંમર,age
વિભાગ,section
ડ્રેસ,dress
વાદળું,cloud
આશ્ચર્ય,surprise
શાંત,quiet
પથ્થર,stone
નાના,tiny
ચઢી,climb
ઠંડી,cool
ડિઝાઇન,design
ગરીબ,poor
ઘણો,lot
પ્રયોગ,experiment
નીચે,bottom
કી,key
લોખંડ,iron
એક,single
લાકડી,stick
ફ્લેટ,flat
વીસ,twenty
ત્વચા,skin
સ્મિત,smile
બોલ,crease
છિદ્ર,hole
આવો,jump
બાળક,baby
આઠ,eight
ગામ,village
પૂરી,meet
રુટ,root
ખરીદી,buy
એકત્ર,raise
હલ,solve
મેટલ,metal
કે શું,whether
દબાણ,push
સાત,seven
ફકરો,paragraph
ત્રીજા,third
રહેશે,shall
આયોજન,held
વાળ,hair
વર્ણન,describe
રસોઈયા,cook
માળ,floor
ક્યાં,either
પરિણામ,result
બર્ન,burn
હિલ,hill
સલામત,safe
બિલાડી,cat
સદી,century
ધ્યાનમાં,consider
પ્રકાર,type
કાયદો,law
બીટ,bit
કિનારે,coast
નકલ,copy
મહાવરો,phrase
શાંત,silent
ઊંચા,tall
રેતી,sand
જમીન,soil
રોલ,roll
તાપમાન,temperature
આંગળી,finger
ઉદ્યોગ,industry
કિંમત,value
લડાઈ,fight
અસત્ય,lie
હરાવ્યું,beat
ઉત્તેજિત,excite
કુદરતી,natural
દૃશ્ય,view
અર્થમાં,sense
મૂડી,capital
નહીં,won’t
ખુરશી,chair
ભય,danger
ફળ,fruit
સમૃદ્ધ,rich
જાડા,thick
સૈનિક,soldier
પ્રક્રિયા,process
કામ,operate
પ્રથા,practice
અલગ,separate
મુશ્કેલ,difficult
ડૉક્ટર,doctor
કૃપા કરીને,please
રક્ષણ,protect
બપોરે,noon
પાક,crop
આધુનિક,modern
તત્વ,element
હિટ,hit
વિદ્યાર્થી,student
ખૂણે,corner
પક્ષ,party
પુરવઠો,supply
જેના,whose
સ્થિત,locate
રિંગ,ring
પાત્ર,character
જંતુ,insect
કેચ,caught
સમય,period
સૂચવે છે,indicate
રેડિયો,radio
વાત કરી હતી,spoke
અણુ,atom
માનવ,human
ઇતિહાસ,history
અસર,effect
ઇલેક્ટ્રિક,electric
અપેક્ષા,expect
અસ્થિ,bone
રેલવે,rail
કલ્પના,imagine
પૂરી પાડે છે,provide
સંમત,agree
આમ,thus
સૌમ્ય,gentle
મહિલા,woman
કેપ્ટન,captain
ધારી,guess
જરૂરી,necessary
તીવ્ર,sharp
પાંખ,wing
બનાવો,create
પાડોશી,neighbor
ધોવું,wash
બેટ,bat
બદલે,rather
ભીડ,crowd
મકાઈ,corn
સરખામણી,compare
કવિતા,poem
શબ્દમાળા,string
ઘંટડી,bell
આધાર રાખે છે,depend
માંસ,meat
ઘસવું,rub
ટ્યુબ,tube
વિખ્યાત,famous
ડોલર,dollar
સ્ટ્રીમ,stream
ભય,fear
દૃષ્ટિ,sight
પાતળા,thin
ત્રિકોણ,triangle
ગ્રહ,planet
ઉતાવળ કરવી,hurry
મુખ્ય,chief
વસાહત,colony
ઘડિયાળ,clock
ખાણ,mine
ટાઇ,tie
દાખલ,enter
મુખ્ય,major
તાજા,fresh
શોધ,search
મોકલવા,send
પીળા,yellow
બંદૂક,gun
પરવાનગી,allow
પ્રિન્ટ,print
મૃત,dead
હાજર,spot
રણ,desert
દાવો,suit
વર્તમાન,current
લિફ્ટ,lift
ગુલાબ,rose
આવો,arrive
માસ્ટર,master
ટ્રેક,track
પિતૃ,parent
કિનારા,shore
વિભાગ,division
શીટ,sheet
પદાર્થ,substance
તરફેણ,favor
કનેક્ટ,connect
પોસ્ટ,post
ખર્ચ,spend
તાર,chord
ચરબી,fat
ખુશી,glad
મૂળ,original
શેર,share
સ્ટેશન,station
પિતા,dad
બ્રેડ,bread
ચાર્જ,charge
યોગ્ય,proper
બાર,bar
ઓફર,offer
સેગમેન્ટમાં,segment
ગુલામ,slave
બતક,duck
ઇન્સ્ટન્ટ,instant
બજાર,market
ડિગ્રી,degree
રચના,populate
પક્ષીનું બચ્ચું,chick
પ્રિય,dear
દુશ્મન,enemy
જવાબ,reply
પીણું,drink
થાય,occur
આધાર,support
ભાષણ,speech
પ્રકૃતિ,nature
શ્રેણી,range
વરાળ,steam
ગતિ,motion
પાથ,path
પ્રવાહી,liquid
લોગ,log
અર્થ,meant
આંક,quotient
દાંત,teeth
શેલ,shell
ગરદન,neck
ઓક્સિજન,oxygen
ખાંડ,sugar
મૃત્યુ,death
ખૂબ,pretty
કૌશલ્ય,skill
સ્ત્રીઓ,women
મોસમ,season
ઉકેલ,solution
ચુંબક,magnet
ચાંદીના,silver
આભાર,thank
શાખા,branch
મેચ,match
પ્રત્યય,suffix
ખાસ કરીને,especially
અંજીર,fig
ભયભીત,afraid
વિશાળ,huge
બહેન,sister
સ્ટીલ,steel
ચર્ચા,discuss
આગળ,forward
સમાન,similar
માર્ગદર્શન,guide
અનુભવ,experience
સ્કોર,score
સફરજન,apple
ખરીદી,bought
દોરી,led
પિચ,pitch
કોટ,coat
સમૂહ,mass
કાર્ડ,card
બેન્ડ,band
દોરડું,rope
કાપલી,slip
જીત,win
સ્વપ્ન,dream
સાંજે,evening
સ્થિતિ,condition
ફીડ,feed
સાધન,tool
કુલ,total
મૂળભૂત,basic
ગંધ,smell
ખીણ,valley
કે,nor
ડબલ,double
બેઠક,seat
ચાલુ,continue
બ્લોક,block
ચાર્ટ,chart
ટોપી,hat
વેચાણ,sell
સફળતા,success
કંપની,company
બાદબાકી,subtract
ઘટના,event
ખાસ,particular
સોદો,deal
તરી,swim
શબ્દ,term
વિરુદ્ધ,opposite
પત્ની,wife
જૂતા,shoe
ખભા,shoulder
ફેલાવો,spread
વ્યવસ્થા,arrange
શિબિર,camp
શોધ,invent
કપાસ,cotton
બોર્ન,born
નક્કી,determine
પા ગેલન,quart
નવ,nine
ટ્રક,truck
અવાજ,noise
સ્તર,level
તક,chance
ભેગા,gather
દુકાન,shop
ઉંચાઇ,stretch
ફેંકવું,throw
ચમકવા,shine
મિલકત,property
કૉલમ,column
પરમાણુ,molecule
પસંદ,select
ખોટું,wrong
ગ્રે,gray
વારંવાર,repeat
જરૂરી,require
વ્યાપક,broad
તૈયાર,prepare
મીઠું,salt
નાક,nose
બહુવચન,plural
ગુસ્સો,anger
દાવો,claim
ખંડ,continent
