ретінде,as
мен,I
оның,his
сол,that
ол,he
болды,was
үшін,for
бойынша,on
болып табылады,are
бірге,with
олар,they
болуы,be
жанында,at
бір,one
бар,have
осы,this
-дан,from
арқылы,by
ыстық,hot
сөз,word
бірақ,but
не,what
кейбір,some
болып табылады,is
бұл,it
Сіз,you
немесе,or
болды,had
The,the
туралы,of
қарай,to
мен,and
а,a
жылы,in
біз,we
болады,can
жүзеге,out
басқа,other
болды,were
қай,which
істеу,do
олардың,their
уақыт,time
егер,if
ерік,will
қалай,how
деді,said
Егер,an
әрбір,each
айту,tell
жасайды,does
орнату,set
үш,three
келеді,want
ауа,air
жақсы,well
|Сондай-ақ,|,also
ойын,play
кішкентай,small
соңы,end
қою,put
үй,home
оқу,read
қол,hand
порт,port
үлкен,large
емле,spell
қосу,add
тіпті,even
жер,land
мұнда,here
керек,must
үлкен,big
биік,high
сондай,such
орындаңыз,follow
акт,act
неге,why
сұрау,ask
ерлер,men
өзгеріс,change
барды,went
жеңіл,light
мейірімді,kind
ажыратылған,off
мұқтаждық,need
үй,house
сурет,picture
әрекет,try
бізді,us
қайтадан,again
жануар,animal
тармақ,point
ана,mother
әлем,world
жақын,near
салу,build
өзін-өзі,self
жер,earth
әке,father
кез келген,any
жаңа,new
жұмыс,work
бөлім,part
қабылдау,take
алу,get
орын,place
құрады,made
тірі,live
қайда,where
кейін,after
артқа,back
кішкентай,little
тек,only
дөңгелек,round
адам,man
жыл,year
келді,came
көрсету,show
әрбір,every
жақсы,good
маған,me
беру,give
біздің,our
астында,under
ат,name
өте,very
арқылы,through
әділ,just
форма,form
сөйлем,sentence
ұлы,great
ойлау,think
айту,say
көмектесіңіздер,help
төмен,low
сызық,line
әр түрлі,differ
бұрылу,turn
себеп,cause
өте,much
білдіреді,mean
бұрын,before
ауыстыру,move
оң,right
ұл,boy
ескі,old
де,too
бірдей,same
ол,she
барлық,all
ана жерде,there
қашан,when
жоғары,up
пайдалану,use
сіздің,your
жол,way
туралы,about
көптеген,many
содан кейін,then
оларға,them
жазу,write
еді,would
сияқты,like
осылай,so
осы,these
оның,her
ұзақ,long
жасау,make
нәрсе,thing
көру,see
оған,him
екі,two
бар,has
іздеу,look
көбірек,more
күн,day
еді,could
жүру,go
келу,come
жасады,did
нөмір,number
дыбыс,sound
жоқ,no
көбінесе,most
адамдар,people
менің,my
үстінде,over
білу,know
су,water
қарағанда,than
шақыру,call
бірінші,first
кім,who
мүмкін,may
төмен,down
тарап,side
болды,been
қазір,now
табу,find
бас,head
тұру,stand
өз,own
бет,page
қажет,should
ел,country
табылған,found
жауап,answer
мектеп,school
өсу,grow
оқу,study
қимылсыз,still
үйрену,learn
өсімдік,plant
қақпақ,cover
тамақ,food
күн,sun
төрт,four
арасында,between
мемлекет,state
ұстау,keep
көз,eye
ешқашан да,never
соңғы,last
мүмкіндік,let
ой,thought
қала,city
ағаш,tree
крест,cross
ферма,farm
қиын,hard
бастау,start
лязат,might
әңгіме,story
ара,saw
алыс,far
теңіз,sea
сурет салу,draw
сол,left
кеш,late
жүгіру,run
істемеу,don’t
уақыт,while
баспасөз,press
жақын,close
түн,night
шын,real
өмір,life
бірнеше,few
солтүстік,north
кітап,book
Қазақстан бойынша жүк тасымалдары,carry
алды,took
ғылым,science
жеу,eat
бөлме,room
дос,friend
бастады,began
идея,idea
балық,fish
тау,mountain
тоқта,stop
бір рет,once
база,base
тыңдау,hear
жылқы,horse
кесу,cut
сенімді,sure
сағат,watch
түс,color
бет,face
орман,wood
басты,main
ашық,open
көрінуі,seem
бірге,together
келесі,next
ақ,white
балалар,children
баста,begin
алды,got
серуен,walk
мысал,example
жеңілдік,ease
қағаз,paper
топ,group
әрқашан,always
музыка,music
олар,those
екеуі де,both
белгі,mark
жиі,often
хат,letter
дейін,until
миля,mile
өзен,river
автомобиль,car
фут,feet
қамқорлық,care
секунд,second
жеткілікті,enough
анық,plain
қыз бала,girl
әдеттегі,usual
жас,young
дайын,ready
Жоғарыда,above
соңды,ever
қызыл,red
тізім,list
дегенмен,though
сезу,feel
әңгіме,talk
құс,bird
тез,soon
дене,body
ит,dog
отбасы,family
тура,direct
қалып,pose
қалдыру,leave
ән,song
өлшеу,measure
есік,door
өнім,product
қара,black
қысқа,short
сан,numeral
сынып,class
жел,wind
сұрақ,question
орын,happen
аяқталған,complete
кеме,ship
аудан,area
жарты,half
Rock,rock
тапсырыс,order
от,fire
оңтүстік,south
проблема,problem
кесек,piece
айтты,told
білген,knew
өту,pass
бастап,since
үстінен,top
бүтін,whole
патша,king
көше,street
дюймдік,inch
көбейту,multiply
ештеңе,nothing
курс,course
болу,stay
дөңгелек,wheel
толық,full
күш,force
көк,blue
зат,object
шешу,decide
беті,surface
терең,deep
ай,moon
арал,island
аяқ,foot
жүйе,system
бос емес,busy
сынақ,test
рекорд,record
қайық,boat
ортақ,common
алтын,gold
мүмкін,possible
ұшақ,plane
Stead,stead
құрғақ,dry
керемет,wonder
күлкі,laugh
мың,thousand
бұрын,ago
RAN,ran
тексеру,check
ойын,game
кескін,shape
теңестіру,equate
ыстық,hot
сағыну,miss
әкелді,brought
ыстық,heat
қар,snow
шина,tire
әкелу,bring
иә,yes
алыс,distant
толтыру,fill
шығыс,east
бояу,paint
тіл,language
арасында,among
бірлік,unit
күш,power
қала,town
айыппұл,fine
сенімді,certain
шыбын,fly
күз,fall
қорғасын,lead
жылау,cry
қараңғы,dark
машина,machine
ескерту,note
күту,wait
жоспар,plan
сан,figure
жұлдыз,star
қорап,box
зат есім,noun
өріс,field
демалыс,rest
дұрыс,correct
қабілетті,able
қадақ,pound
Done,done
сұлулық,beauty
диск,drive
тұрды,stood
болу,contain
алдыңғы,front
үйрету,teach
апта,week
соңғы,final
берді,gave
жасыл,green
OH,oh
жылдам,quick
даму,develop
мұхит,ocean
жылы,warm
тегін,free
минут,minute
күшті,strong
арнаулы,special
ақыл,mind
артында,behind
айқын,clear
құйрық,tail
шығару,produce
факт,fact
ғарыш,space
естідім,heard
ең жақсы,best
сағат,hour
жақсырақ,better
шынайы,true
ішінде,during
жүз,hundred
бес,five
есте сақтау,remember
қадам,step
ерте,early
ұстау,hold
батыс,west
жер,ground
қызығушылық,interest
жету,reach
жылдам,fast
етістік,verb
ән салу,sing
тыңдау,listen
алты,six
үстел,table
саяхат,travel
аздау,less
таң,morning
он,ten
қарапайым,simple
бірнеше,several
дауысты,vowel
қарай,toward
соғыс,war
қою,lay
қарсы,against
үлгі,pattern
баяу,slow
орталық,center
махаббат,love
адам,person
ақша,money
қызмет ету,serve
пайда болу,appear
жол,road
карта,map
жаңбыр,rain
ереже,rule
басқару,govern
тарт,pull
суық,cold
ескерту,notice
дауыс,voice
энергия,energy
аңшылық,hunt
ықтимал,probable
төсек,bed
аға,brother
жұмыртқа,egg
жүру,ride
жасуша,cell
сену,believe
мүмкін,perhaps
жинау,pick
кенет,sudden
санау,count
шаршы,square
себеп,reason
ұзындық,length
бейнелеу,represent
өнер,art
пән,subject
аймақ,region
мөлшері,size
өзгерту,vary
реттеуге,settle
айту,speak
салмақ,weight
жалпы,general
мұз,ice
мәселе,matter
шеңбер,circle
жұп,pair
қамтиды,include
бөлу,divide
слог,syllable
сезіндім,felt
Grand,grand
доп,ball
тағы,yet
толқын,wave
тастау,drop
жүрек,heart
AM,am
қазіргі,present
ауыр,heavy
би,dance
қозғалтқыш,engine
позиция,position
қол,arm
кең,wide
жүзу,sail
материал,material
фракциясы,fraction
орман,forest
отыру,sit
нәсіл,race
терезе,window
қойма,store
жаз,summer
поезд,train
ұйықтау,sleep
дәлелдеу,prove
жалғыз,lone
аяқ,leg
жаттығу,exercise
қабырға,wall
аулау,catch
Mount,mount
тілек,wish
аспан,sky
басқарма,board
қуаныш,joy
қыс,winter
Сб,sat
жазбаша,written
жабайы,wild
аспап,instrument
сақталады,kept
шыны,glass
шөп,grass
сиыр,cow
жұмыс,job
Edge,edge
белгі,sign
бару,visit
өткен,past
жұмсақ,soft
ермек,fun
ашық,bright
газ,gas
ауа райы,weather
ай,month
миллион,million
аю,bear
финиш,finish
бақытты,happy
үміт,hope
гүл,flower
киіндіру,clothe
оғаш,strange
кеткен,gone
сауда,trade
әуен,melody
сапар,trip
кеңсе,office
алу,receive
қатар,row
ауыз,mouth
дәл,exact
символы,symbol
өлу,die
кем дегенде,least
қиыншылық,trouble
айқайлау,shout
қоспағанда,except
деп жазды,wrote
тұқым,seed
үн,tone
қосылу,join
ұсынамыз,suggest
таза,clean
үзіліс,break
ханым,lady
аула,yard
көтерілу,rise
жаман,bad
үрлеу,blow
мұнай,oil
қан,blood
жанасу,touch
өсті,grew
цент,cent
араластыру,mix
команда,team
сым,wire
құны,cost
жоғалған,lost
қоңыр,brown
кию,wear
бақ,garden
тең,equal
жіберілген,sent
таңдау,choose
пала,fell
Fit,fit
ағыны,flow
әділ,fair
банк,bank
жинау,collect
құтқару,save
бақылау,control
ондық,decimal
құлақ,ear
тағы,else
әбден,quite
сынған,broke
оқиға,case
орта,middle
өлтіру,kill
ұл,son
көл,lake
сәт,moment
ауқымды,scale
қатты,loud
көктем,spring
байқау,observe
бала,child
түзу,straight
дауыссыз дыбыс,consonant
ұлт,nation
сөздік,dictionary
сүт,milk
жылдамдық,speed
әдіс,method
орган,organ
төлеу,pay
жас,age
бөлім,section
көйлек,dress
бұлт,cloud
тосын,surprise
тыныш,quiet
тас,stone
кішкентай,tiny
өрмелеу,climb
салқын,cool
жобалау,design
кедей,poor
көп,lot
эксперимент,experiment
төменгі,bottom
кілт,key
темір,iron
бір,single
таяқ,stick
тегіс,flat
жиырма,twenty
тері,skin
күлімсіреу,smile
қыртыстарды,crease
тесік,hole
секіру,jump
нәресте,baby
сегіз,eight
ауыл,village
кездестіру,meet
түбір,root
сатып алу,buy
көтеру,raise
шешу,solve
металл,metal
ма,whether
басыңыз,push
жеті,seven
параграф,paragraph
үшінші,third
міндетті,shall
Өткізілген,held
шаш,hair
сипаттау,describe
аспаз,cook
еден,floor
немесе,either
нәтиже,result
күйік,burn
төбе,hill
қауіпсіз,safe
мысық,cat
ғасыр,century
қарау,consider
түрі,type
заң,law
биттік,bit
жаға,coast
көшірме,copy
сөйлем,phrase
тыныш,silent
ұзын бойлы,tall
құм,sand
топырақ,soil
орам,roll
температура,temperature
саусақ,finger
өнеркәсіп,industry
құн,value
төбелес,fight
өтірік,lie
ұрыс,beat
қоздыру,excite
табиғи,natural
көрініс,view
сезім,sense
капитал,capital
емес болады,won’t
кафедра,chair
қауіп,danger
жеміс,fruit
бай,rich
қалың,thick
солдат,soldier
процесс,process
басқару,operate
практика,practice
жеке,separate
қиын,difficult
дәрігер,doctor
өтінемін,please
қорғау,protect
талтүс,noon
өнім,crop
қазіргі заманғы,modern
элемент,element
HIT,hit
студент,student
бұрыш,corner
партия,party
жабдықтау,supply
кімнің,whose
орналастыру,locate
жүзік,ring
кейіпкер,character
жәндік,insect
ұстап,caught
кезең,period
көрсету,indicate
радио,radio
спица,spoke
атом,atom
адам,human
тарихы,history
әсер,effect
электр,electric
күту,expect
сүйек,bone
рельс,rail
елестету,imagine
қамтамасыз ету,provide
келісу,agree
осылайша,thus
жұмсақ,gentle
әйел,woman
капитан,captain
жорамал,guess
қажет,necessary
өткір,sharp
қанат,wing
жасау,create
көрші,neighbor
жуу,wash
жарғанат,bat
тезірек,rather
тобыр,crowd
дән,corn
салыстыру,compare
өлең,poem
жол,string
қоңырау,bell
байланысты,depend
ет,meat
руб,rub
түтік,tube
атақты,famous
доллар,dollar
ағыны,stream
қорқыныш,fear
көру,sight
жұқа,thin
үшбұрыш,triangle
планета,planet
асығу,hurry
бас,chief
отар,colony
сағат,clock
шахта,mine
галстук,tie
кіру,enter
майор,major
жаңа,fresh
іздеу,search
жіберу,send
сары,yellow
мылтық,gun
рұқсат ету,allow
басу,print
өлі,dead
дақ,spot
шөл,desert
костюм,suit
ағымдағы,current
көтеру,lift
раушан,rose
келу,arrive
мастер,master
жол,track
ата-аналар,parent
жаға,shore
бөлу,division
табақ,sheet
зат,substance
сыпайылық,favor
қосылу,connect
кейінгі,post
жұмсауға,spend
аккорд,chord
май,fat
қуанышты,glad
түпнұсқа,original
үлес,share
станция,station
әке,dad
нан,bread
төлем,charge
дұрыс,proper
бар,bar
ұсыну,offer
сегмент,segment
құл,slave
үйрек,duck
лезде,instant
базар,market
градус,degree
толтыру,populate
Chick,chick
Құрметті,dear
жау,enemy
жауап,reply
сусын,drink
пайда,occur
қолдау,support
сөйлеу,speech
табиғат,nature
диапазон,range
бу,steam
қозғалыс,motion
соқпақ,path
сұйық,liquid
журнал,log
білдіреді,meant
фактор,quotient
тістері,teeth
қабыршақ,shell
мойын,neck
оттегі,oxygen
қант,sugar
өлім,death
әдемі,pretty
шеберлік,skill
әйелдер,women
маусымы,season
шешім,solution
магнит,magnet
күміс,silver
алғыс айту,thank
филиал,branch
матч,match
жұрнақ,suffix
әсіресе,especially
інжір,fig
қорқады,afraid
үлкен,huge
қарындас,sister
болат,steel
талқылау,discuss
алға,forward
ұқсас,similar
гид,guide
тәжірибе,experience
гол,score
алма,apple
сатып,bought
жарық диодты индикатор,led
қадам,pitch
пальто,coat
масса,mass
кәртішке,card
топ,band
арқан,rope
таю,slip
жеңіс,win
арман,dream
кеш,evening
жағдай,condition
жем,feed
аспап,tool
жалпы,total
негізгі,basic
иіс,smell
аңғар,valley
|де,|,nor
қос,double
орын,seat
жалғастыру,continue
блок,block
кесте,chart
Hat,hat
сату,sell
табыс,success
компания,company
шегеру,subtract
оқиға,event
ерекше,particular
мәміле,deal
жүзу,swim
мерзім,term
қарама-қарсы,opposite
әйел,wife
туфли,shoe
иық,shoulder
тарату,spread
орналастыру,arrange
лагерь,camp
ойлап,invent
мақта,cotton
туған,born
анықтау,determine
Тоқсан,quart
тоғыз,nine
жүк көлігі,truck
шу,noise
деңгей,level
кездейсоқтық,chance
жинау,gather
дүкен,shop
созу,stretch
лақтыру,throw
жылтыр,shine
меншік,property
колонна,column
молекуласы,molecule
таңдау,select
қате,wrong
сұр,gray
қайталау,repeat
талап,require
кең,broad
әзірлеу,prepare
тұз,salt
мұрын,nose
көптік,plural
ашу,anger
талап,claim
құрылық,continent
